1350,22.5,5,10000,10038.19838,0.5,0.5,0,0
1350,22.5,15,10000,10352.7618,0.5,0.5,0,0
1350,22.5,25,10000,11033.77919,0.5,0.5,0,0
1350,22.5,35,10000,12207.74589,0.5,0.5,0,0
1350,22.5,45,10000,14142.13562,0.5,0.5,0,0
1350,22.5,55,10000,17434.46796,0.5,0.5,0,0
1350,22.5,65,10000,23662.01583,0.5,0.5,0,0
1350,67.5,5,10000,10038.19838,0.5,0.5,0,0
1350,67.5,15,10000,10352.7618,0.5,0.5,0,0
1350,67.5,25,10000,11033.77919,0.5,0.5,0,0
1350,67.5,35,10000,12207.74589,0.5,0.5,0,0
1350,67.5,45,10000,14142.13562,0.5,0.5,0,0
1350,67.5,55,10000,17434.46796,0.5,0.5,0,0
1350,67.5,65,10000,23662.01583,0.5,0.5,0,0
1350,112.5,5,10000,10038.19838,0.5,0.5,0,0
1350,112.5,15,10000,10352.7618,0.5,0.5,0,0
1350,112.5,25,10000,11033.77919,0.5,0.5,0,0
1350,112.5,35,10000,12207.74589,0.5,0.5,0,0
1350,112.5,45,10000,14142.13562,0.5,0.5,0,0
1350,112.5,55,10000,17434.46796,0.5,0.5,0,0
1350,112.5,65,10000,23662.01583,0.5,0.5,0,0
1350,157.5,5,10000,10038.19838,0.5,0.5,0,0
1350,157.5,15,10000,10352.7618,0.5,0.5,0,0
1350,157.5,25,10000,11033.77919,0.5,0.5,0,0
1350,157.5,35,10000,12207.74589,0.5,0.5,0,0
1350,157.5,45,10000,14142.13562,0.5,0.5,0,0
1350,157.5,55,10000,17434.46796,0.5,0.5,0,0
1350,157.5,65,10000,23662.01583,0.5,0.5,0,0
1350,202.5,5,10000,10038.19838,0.5,0.5,0,0
1350,202.5,15,10000,10352.7618,0.5,0.5,0,0
1350,202.5,25,10000,11033.77919,0.5,0.5,0,0
1350,202.5,35,10000,12207.74589,0.5,0.5,0,0
1350,202.5,45,10000,14142.13562,0.5,0.5,0,0
1350,202.5,55,10000,17434.46796,0.5,0.5,0,0
1350,202.5,65,10000,23662.01583,0.5,0.5,0,0
