1990,1,1,0,20.6,10.8,14.2,98,2.9,0,30,422,94,nan,nan,872.0899082,1,0,1.4
1990,1,2,0,20.2,12.4,14.8,93,2.1,0,30,422,94,nan,nan,872.9899082,1,18.6,1.3
1990,1,3,0,20.8,12.4,15.1,90,4.3,0,30,422,94,nan,nan,871.8899082,1,6.1,2
1990,1,4,0,22.6,12.6,16.4,89,9,0,30,422,94,nan,nan,867.9899082,1,0.3,3.1
1990,1,5,0,23.3,10.4,16,89,9.2,0,30,422,94,nan,nan,871.2899082,1,0,3.3
1990,1,6,0,25.4,11.2,16.2,87,9.4,0,30,422,94,nan,nan,871.3899082,1,0,2.6
1990,1,7,0,23.6,11.2,18.3,86,9.5,0,30,422,94,nan,nan,870.8899082,1,0,3.3
1990,1,8,0,22.2,12,14.9,84,7.5,0,30,422,94,nan,nan,871.2899082,1,0,3.1
1990,1,9,0,23,7.5,14.3,92,6.4,0,30,422,94,nan,nan,872.5899082,1,0.7,5.7
1990,1,10,0,19,12.6,14.1,97,0,0,30,422,94,nan,nan,872.8899082,1,0.3,3.2
1990,1,11,0,18,12,13.8,96,1.4,0,30,422,94,nan,nan,872.4899082,1,8.8,nan
1990,1,12,0,20.6,10,14,91,3.2,0,30,422,94,nan,nan,872.3899082,1,5.4,4.3
1990,1,13,0,18,12,13.9,95,0,0,30,422,94,nan,nan,869.8899082,1,0.6,2
1990,1,14,0,18.4,12,13.9,97,0.6,0,30,422,94,nan,nan,872.8899082,1,3.8,1.9
1990,1,15,0,21.4,12,15.8,93,5.5,0,30,422,94,nan,nan,872.2899082,1,1.5,4.4
1990,1,16,0,22.4,15,15.9,95,2.5,0,30,422,94,nan,nan,871.4899082,1,3.2,5.4
1990,1,17,0,24,14,16.7,89,6.4,0,30,422,94,nan,nan,870.5899082,1,7.5,4.1
1990,1,18,0,23.6,13.4,16.4,89,8,0,30,422,94,nan,nan,872.2899082,1,1.4,4.5
1990,1,19,0,24,12.4,18.2,90,5.7,0,30,422,94,nan,nan,869.0899082,1,0,5.1
